bgc_id	compound	tax_id	strain	species	genus	family	order	class	phylum	clade	superkingdom	species group	section	suborder	subclass	subphylum	subkingdom	kingdom	subgenus	subspecies	species subgroup	subfamily	varietas	serotype	tribe	subtribe
BGC0001565	cyclosporin C	37994		Beauveria felina	Beauveria	Cordycipitaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota				Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001566	cylindrocyclophane	379530	Cylindrospermum licheniforme UTEX B 2014	Cylindrospermum licheniforme	Cylindrospermum	Nostocaceae	Nostocales		Cyanobacteria	Terrabacteria group	Bacteria															
BGC0001567	cysteoamide	1915		Streptomyces lincolnensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001568	cytorhodin	861528		Streptomyces sp. SCSIO 1666	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001569	dechlorocuracomycin	316284	Streptomyces noursei ATCC 11455	Streptomyces noursei	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001570	deimino-antipain	68570		Streptomyces albulus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001571	demethoxyviridin	1897413		Nodulisporium sp.	Nodulisporium	Xylariaceae	Xylariales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota				Xylariomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001572	desferrioxamine E	549		Pantoea agglomerans	Pantoea	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	Pantoea agglomerans group														
BGC0001573	dihydrolysergic acid	83212		Claviceps africana	Claviceps	Clavicipitaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota				Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001574	diisonitrile antibiotic SF2768	66431		Streptomyces thioluteus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001575	dipeptide aldehydes	457412		Ruminococcus sp. 5_1_39BFAA	Ruminococcus	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Terrabacteria group	Bacteria															
BGC0001576	divamide A	1216		Prochloron didemni	Prochloron	Prochloraceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria															
BGC0001577	divamide B	1216		Prochloron didemni	Prochloron	Prochloraceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria															
BGC0001578	duclauxin	441959	Talaromyces stipitatus ATCC 10500	Talaromyces stipitatus	Talaromyces	Trichocomaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota		Talaromyces sect. Talaromyces		Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001580	ebelactone	67265		Kitasatospora aburaviensis	Kitasatospora	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001582	ecumicin	1562372		Nonomuraea sp. MJM5123	Nonomuraea	Streptosporangiaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001583	emodin	150374		Escovopsis weberi	Escovopsis	Hypocreaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota				Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001584	C-1027	1703935		Streptomyces sp. CB02366	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001585	melinacidin IV	150374		Escovopsis weberi	Escovopsis	Hypocreaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota				Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001586	EPS273	316		Stutzerimonas stutzeri	Stutzerimonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	Stutzerimonas stutzeri group									Stutzerimonas stutzeri subgroup					
BGC0001587	ethylenediaminesuccinic acid hydroxyarginine (EDHA)	227882	Streptomyces avermitilis MA-4680 = NBRC 14893	Streptomyces avermitilis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001588	exopolysaccharides	884204	Burkholderia pseudomallei 1026b	Burkholderia pseudomallei	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	pseudomallei group														
BGC0001589	exopolysaccharides	216591	Burkholderia cenocepacia J2315	Burkholderia cenocepacia	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	Burkholderia cepacia complex														
BGC0001590	formicamycins A-M	1958824		Streptomyces sp. KY5	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001591	fatty acid enol ester	1091571		uncultured bacterium CSLC2							Bacteria															
BGC0001592	ferroverdin	1535768		Streptomyces lunaelactis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001593	ficellomycin	1977088		Streptomyces ficellus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
