bgc_id	compound	tax_id	strain	species	genus	family	order	class	phylum	kingdom	domain	cellular root	subclass	clade	subspecies	suborder	species group	species subgroup	varietas	serotype	subphylum	subkingdom	subfamily	isolate	subgenus	realm	acellular root	tribe	subtribe
BGC0002026	thaxteramide A1	1434086		Jahnella sp. MSr9139	Jahnella	Polyangiaceae	Polyangiales		Myxococcota	Pseudomonadati	Bacteria	cellular organisms	Polyangia																
BGC0002028	frigocyclinone	1911		Streptomyces griseus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms					Streptomyces griseus group	Streptomyces griseus subgroup											
BGC0002031	kitasetaline	452652	Kitasatospora setae KM-6054	Kitasatospora setae	Kitasatospora	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002032	pentamycin	2283197		Streptomyces sp. S816	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002033	spiramycin	278992	Streptomyces ambofaciens ATCC 23877	Streptomyces ambofaciens	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002034	perquinoline A	2517818		Streptomyces sp. IB2014 016-6	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002036	dehydrofosmidomycin	1914		Streptomyces lavendulae	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002037	azetidomonamide A	208964	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms					Pseudomonas aeruginosa group												
BGC0002038	nigericin	2583819		Streptomyces sp. DASNCL29	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002039	coformycin	1311815	Nocardia interforma ATCC 21072	Nocardia interforma	Nocardia	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002040	coformycin	212423		Streptomyces kaniharaensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002042	anthelvencin A	54571		Streptomyces venezuelae	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002043	cittilin A	246197	Myxococcus xanthus DK 1622	Myxococcus xanthus	Myxococcus	Myxococcaceae	Myxococcales	Myxococcia	Myxococcota	Pseudomonadati	Bacteria	cellular organisms				Cystobacterineae													
BGC0002044	empedopeptin	1593482		Massilia sp. YMA4	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms																	
BGC0002045	persiamycin A	2607326		Streptomonospora sp. PA3	Streptomonospora	Nocardiopsidaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002046	lobatamide A	1445510	Gynuella sunshinyii YC6258	Gynuella sunshinyii	Gynuella	Saccharospirillaceae	Oceanospirillales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms																	
BGC0002047	brasiliquinone A	37326		Nocardia brasiliensis	Nocardia	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002048	endopyrrole B	882378	Mycetohabitans rhizoxinica HKI 454	Mycetohabitans rhizoxinica	Mycetohabitans	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms																	
BGC0002049	microviridin N9	63737	Nostoc punctiforme PCC 73102	Nostoc punctiforme	Nostoc	Nostocaceae	Nostocales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	cellular organisms		Cyanobacteriota/Melainabacteria group															
BGC0002050	necroxime A	2713619		Burkholderia sp. B8(2020)	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms																	
BGC0002051	antipain	1931		Streptomyces sp.	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002052	ectoine	1931		Streptomyces sp.	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002053	ulleungdin	1931		Streptomyces sp.	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002054	amipurimycin	2586640		Streptomyces novoguineensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0002055	mycalamide A	1163772		sponge metagenome																									
BGC0002056	peloruside A	1163772		sponge metagenome																									
BGC0002058	mutanocyclin	1225197	Streptococcus mutans B04Sm5	Streptococcus mutans	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota	Bacillati	Bacteria	cellular organisms																	
